Price,Mileage,Make,Model,Trim,Type,Cylinder
17314.10313,8221,Buick,Century,Sedan 4D,Sedan,6
17542.03608,9135,Buick,Century,Sedan 4D,Sedan,6
16218.84786,13196,Buick,Century,Sedan 4D,Sedan,6
16336.91314,16342,Buick,Century,Sedan 4D,Sedan,6
16339.17032,19832,Buick,Century,Sedan 4D,Sedan,6
15709.05282,22236,Buick,Century,Sedan 4D,Sedan,6
15230.00339,22576,Buick,Century,Sedan 4D,Sedan,6
15048.04218,22964,Buick,Century,Sedan 4D,Sedan,6
14862.09387,24021,Buick,Century,Sedan 4D,Sedan,6
15295.01827,27325,Buick,Century,Sedan 4D,Sedan,6
21335.85248,10237,Buick,Lacrosse,CX Sedan 4D,Sedan,6
20538.08751,15066,Buick,Lacrosse,CX Sedan 4D,Sedan,6
20512.09409,16633,Buick,Lacrosse,CX Sedan 4D,Sedan,6
19924.15905,19800,Buick,Lacrosse,CX Sedan 4D,Sedan,6
19774.24907,23359,Buick,Lacrosse,CX Sedan 4D,Sedan,6
19344.16554,23765,Buick,Lacrosse,CX Sedan 4D,Sedan,6
19105.13012,24008,Buick,Lacrosse,CX Sedan 4D,Sedan,6
18543.42705,26034,Buick,Lacrosse,CX Sedan 4D,Sedan,6
17808.199,32896,Buick,Lacrosse,CX Sedan 4D,Sedan,6
17968.83828,34665,Buick,Lacrosse,CX Sedan 4D,Sedan,6
22358.87768,8970,Buick,Lacrosse,CXL Sedan 4D,Sedan,6
23785.92253,10577,Buick,Lacrosse,CXL Sedan 4D,Sedan,6
22926.09037,14363,Buick,Lacrosse,CXL Sedan 4D,Sedan,6
21895.75878,16508,Buick,Lacrosse,CXL Sedan 4D,Sedan,6
21273.06171,18908,Buick,Lacrosse,CXL Sedan 4D,Sedan,6
21460.01395,19467,Buick,Lacrosse,CXL Sedan 4D,Sedan,6
21183.12359,21394,Buick,Lacrosse,CXL Sedan 4D,Sedan,6
20406.0995,22596,Buick,Lacrosse,CXL Sedan 4D,Sedan,6
21058.13958,24469,Buick,Lacrosse,CXL Sedan 4D,Sedan,6
19556.89932,25245,Buick,Lacrosse,CXL Sedan 4D,Sedan,6
23447.68656,15755,Buick,Lacrosse,CXS Sedan 4D,Sedan,6
23547.23944,16235,Buick,Lacrosse,CXS Sedan 4D,Sedan,6
23016.00801,18147,Buick,Lacrosse,CXS Sedan 4D,Sedan,6
22230.0275,22102,Buick,Lacrosse,CXS Sedan 4D,Sedan,6
22625.07357,23612,Buick,Lacrosse,CXS Sedan 4D,Sedan,6
21799.1721,24439,Buick,Lacrosse,CXS Sedan 4D,Sedan,6
21341.25721,25212,Buick,Lacrosse,CXS Sedan 4D,Sedan,6
21683.03146,26779,Buick,Lacrosse,CXS Sedan 4D,Sedan,6
20986.01602,27096,Buick,Lacrosse,CXS Sedan 4D,Sedan,6
20902.10379,29649,Buick,Lacrosse,CXS Sedan 4D,Sedan,6
20698.07708,2992,Buick,Lesabre,Custom Sedan 4D,Sedan,6
20099.25684,10036,Buick,Lesabre,Custom Sedan 4D,Sedan,6
18145.12649,18339,Buick,Lesabre,Custom Sedan 4D,Sedan,6
17944.85692,19592,Buick,Lesabre,Custom Sedan 4D,Sedan,6
19027.86231,21797,Buick,Lesabre,Custom Sedan 4D,Sedan,6
18348.89857,23852,Buick,Lesabre,Custom Sedan 4D,Sedan,6
17750.88457,25040,Buick,Lesabre,Custom Sedan 4D,Sedan,6
17772.96968,25052,Buick,Lesabre,Custom Sedan 4D,Sedan,6
17394.0214,25464,Buick,Lesabre,Custom Sedan 4D,Sedan,6
17645.74504,27830,Buick,Lesabre,Custom Sedan 4D,Sedan,6
21908.36662,17353,Buick,Lesabre,Limited Sedan 4D,Sedan,6
21956.34266,17787,Buick,Lesabre,Limited Sedan 4D,Sedan,6
21646.11692,19562,Buick,Lesabre,Limited Sedan 4D,Sedan,6
21575.45683,20137,Buick,Lesabre,Limited Sedan 4D,Sedan,6
20952.2178,20158,Buick,Lesabre,Limited Sedan 4D,Sedan,6
21562.04758,23767,Buick,Lesabre,Limited Sedan 4D,Sedan,6
19981.12791,24323,Buick,Lesabre,Limited Sedan 4D,Sedan,6
19425.84862,27839,Buick,Lesabre,Limited Sedan 4D,Sedan,6
19191.98962,29187,Buick,Lesabre,Limited Sedan 4D,Sedan,6
19641.7419,31324,Buick,Lesabre,Limited Sedan 4D,Sedan,6
25589.98315,2308,Buick,Park Avenue,Sedan 4D,Sedan,6
25098.62906,10014,Buick,Park Avenue,Sedan 4D,Sedan,6
23420.70695,18910,Buick,Park Avenue,Sedan 4D,Sedan,6
22661.04849,20105,Buick,Park Avenue,Sedan 4D,Sedan,6
23493.0823,20453,Buick,Park Avenue,Sedan 4D,Sedan,6
22435.20282,22287,Buick,Park Avenue,Sedan 4D,Sedan,6
21878.12,23237,Buick,Park Avenue,Sedan 4D,Sedan,6
23077.56591,23798,Buick,Park Avenue,Sedan 4D,Sedan,6
21698.01475,25489,Buick,Park Avenue,Sedan 4D,Sedan,6
21831.82292,25564,Buick,Park Avenue,Sedan 4D,Sedan,6
26831.19404,4695,Buick,Park Avenue,Special Ed Ultra 4D,Sedan,6
